step,rg2,perim,cycles
34950000,64201.799810,116081,7830
35000000,64333.242195,116265,7798
35050000,64339.787702,116315,7682
35100000,64411.296326,116283,7623
35150000,64432.647079,116084,7690
35200000,64486.929327,116097,7787
35250000,64520.643253,116147,7796
35300000,64557.265748,116155,7773
35350000,64554.925181,116232,7719
35400000,64523.855804,116262,7745
35450000,64531.008598,116083,7878
35500000,64753.209043,116165,7756
35550000,64902.541366,116194,7761
35600000,64892.477557,116298,7749
35650000,64989.171692,116211,7843
35700000,65015.875494,116157,7831
35750000,65062.725968,116238,7757
35800000,65051.568191,116234,7802
35850000,64947.498165,116302,7717
35900000,65016.164865,116264,7782
35950000,65059.204493,116246,7709
36000000,65051.397182,116203,7737
36050000,64989.710743,116342,7751
36100000,65042.825932,116254,7812
36150000,65113.910454,116201,7693
36200000,65105.937846,116240,7786
36250000,65097.657850,116037,7931
36300000,65118.818927,116153,7869
36350000,65135.277244,116376,
