step,rg2,perim,cycles
40050000,2173878.327831,119577,7259
40100000,2173117.633090,119569,7282
40150000,2171062.562227,119646,7394
40200000,2171340.557870,119763,7334
40250000,2170314.149803,119442,7390
40300000,2174643.733985,119634,7202
40350000,2182794.173201,119830,7108
40400000,2194793.946069,119749,7237
40450000,2197247.541771,119787,7292
40500000,2173149.825866,119746,7281
40550000,2082467.888796,119700,7240
40600000,2077916.968001,119809,7208
40650000,2080523.471838,119735,7146
40700000,2080963.216910,119508,7277
40750000,2249109.343435,119651,7154
40800000,2237587.590758,119643,7193
40850000,2335703.045379,119528,7155
40900000,2315020.295748,119495,7322
40950000,2316294.394957,119424,7481
41000000,2308106.654046,119422,7394
